RIO DE JANEIRO- RJ
"-22.90277778,-43.2075,A SORTE CHAMA,7074,R CONDE DE BONFIM,20520053,RIO DE JANEIRO,3253-0015,undefined,21"
",-22.85355556,-43.32172222,CASA LOTERICA TIUBA L,7855,Avenida Vicente de Carvalho,21371147,RIO DE JANEIRO,3285-7387,undefined,21"
",-22.92747222,-43.17616667,CASA NOVA LOTERIAS,413,RUA CORREA DUTRA 86 A 88,22210050,RIO DE JANEIRO,2556-2033,undefined,21"
",-22.96944444,-43.18444444,CASA SELO VERMELHO,415,AV N SRA COPACABANA 581,22031000,RIO DE JANEIRO,2255-4772,undefined,21"
",-22.97652778,-43.19027778,CASSINO 17 LOTE. LTD,427,AV N S COPACABANA,22060002,RIO DE JANEIRO,2521-6192,undefined,21"
",-22.90277778,-43.2075,CAVALINO RAMPANTE,6250,AV RIO BRANCO,20040007,RIO DE JANEIRO,2215-4397,undefined,21"
",-22.85458333,-43.26247222,CEIDA SORTE,7265,RUA EUCLIDES FARIA,21060100,RIO DE JANEIRO,7588-4243,undefined,21"
",-22.87311111,-43.28094444,CEIDA SORTE,7938,PC 24  OUTUBRO,20765140,RIO DE JANEIRO,2289-9623,undefined,0000"
",-22.88055556,-43.29388889,CENTRO LOTERICO,473,AV. JOAO RIBEIRO,20750092,RIO DE JANEIRO,3283-6111,undefined,21"
",-22.88222222,-43.31972222,CHEGADA LOTERICA,2267,AV DOM HELDER CAMARA,21380007,RIO DE JANEIRO,2595-4000,undefined,21"
",-22.84975,-43.30880556,CHUTEIRA OURO LOT ES,1369,AVENIDA VICENTE CARVALHO,21210002,RIO DE JANEIRO,3457-6401,undefined,21"
",-22.90833333,-43.29416667,CIA DA FORTUNA,390,RUA DIAS DA CRUZ,20720011,RIO DE JANEIRO,2595-0190,undefined,21"
",-22.88266667,-43.41016667,CIGANA DA SORTE LOTERIAS,18383,AV MARECHAL FONTINELLE,21610640,RIO DE JANEIRO,2301-0225,undefined,21"
",-22.80333333,-43.20777778,CIGANINHA BOMB,2262,AV MAESTRO PAULO SILVA,21920445,RIO DE JANEIRO,2462-4077,undefined,21"
",-22.90277778,-43.2075,CITTA LOTERIAS,469,AVENIDA DAS AMERICAS,22640100,RIO DE JANEIRO,2132-7921,undefined,21"
",-22.96833333,-43.18527778,CITTADINO VIEIRA LOTERIAS LTDA,13740,RUA BARATA RIBEIRO,22040001,RIO DE JANEIRO,2549-9692,undefined,21"
",-22.84833333,-43.26597222,CLUBE DA SORTE,2183,RUA DR ALFREDO BARCELOS,21060692,RIO DE JANEIRO,3884-7707,undefined,21"
",-22.88336111,-43.28452778,CONCORDE LOTERIAS,421,AV PROJETADA,20771635,RIO DE JANEIRO,3272-7153,undefined,0000"
",-22.96294444,-43.17055556,CONCRAB LOTS LTDA,479,R.GUSTAVO SAMPAIO,22010010,RIO DE JANEIRO,2542-2588,undefined,21"
