RIO DE JANEIRO- RJ
"-22.90277778,-43.2075,A SORTE CHAMA,7074,R CONDE DE BONFIM,20520053,RIO DE JANEIRO,3253-0015,undefined,21"
",-22.91416667,-43.23972222,SINDICATO DA SORTE,399,BOULEVARD 28 DE SETEMBRO,20551031,RIO DE JANEIRO,3549-7006,undefined,21"
",-22.84083333,-43.28,SKY LOTERICA LTDA,7340,AV BRAS DE PINA,21070031,RIO DE JANEIRO,3887-0099,undefined,21"
",-22.90283333,-43.20752778,SO GANHA QUEM JOGA,2564,RUA FERNANDES DA FONSECA,21930100,RIO DE JANEIRO,3367-5268,undefined,21"
",-22.91411111,-43.37402778,SO SORTE CAFUNDA LTDA,13905,Estrada do Cafunda,22725031,RIO DE JANEIRO,2435-2202,undefined,21"
",-22.90277778,-43.2075,SOL SON LOTERIAS E DISCOS,2207,RUA DIVISORIA,21331250,RIO DE JANEIRO,3596-2443,undefined,21"
",-22.93541667,-43.24363889,SONARA LOTERIAS LTDA,455,RUA LEITE DE ABREU,20530020,RIO DE JANEIRO,2571-4569,undefined,21"
",-22.81944444,-43.22972222,SONHO DO DIAMANTE,21772,ESTRADA DE MARACAJA,21941395,RIO DE JANEIRO,3298-7625,undefined,21"
",-22.89194444,-43.26916667,SONHO DOURADO,443,R. MIGUEL CERVANTES,20780370,RIO DE JANEIRO,7864-1691,undefined,21"
",-22.91472222,-43.21916667,SONHO MEU,7236,RUA MARIZ E BARROS,20270003,RIO DE JANEIRO,2568-1685,undefined,21"
",-22.86666667,-43.27194444,SORTE DE NOVA BRASILIA,7354,AV. ITAOCA,21061020,RIO DE JANEIRO,2564-6301,undefined,21"
",-22.90397222,-43.55930556,SORTE GRANDE,19270,RUA CORONEL AGOSTINHO,23050360,RIO DE JANEIRO,2416-3340,undefined,21"
",-22.76294444,-43.108,SORTE GRANDE DE PAQUETA,20448,RUA PINHEIRO FREIRE,20396006,RIO DE JANEIRO,3397-0841,undefined,21"
",-22.87777778,-43.42833333,SORTE GRANDE LOTERIA LTDA-ME,9902,Rua Marechal soares Andrea,21710180,RIO DE JANEIRO,3331-0656,undefined,21"
",-22.85083333,-43.39472222,SORTE LOTERICA DA BARRA,14059,Est da Barra da Tijuca,22641005,RIO DE JANEIRO,2495-7647,undefined,21"
",-23.00066667,-43.36638889,SORTE SUA,7097,AV DAS AMERICAS,22631003,RIO DE JANEIRO,3328-7540,undefined,21"
",-23.00263889,-43.32244444,SORTE TOTAL DAS LOTS LTDA,6794,AV DAS AMERICAS,22631455,RIO DE JANEIRO,2494-6922,undefined,21"
",-22.90277778,-43.2075,SORTELE,7713,AV DOM HELDER CAMARA,20751002,RIO DE JANEIRO,3269-1112,undefined,21"
",-22.88283333,-43.36252778,SORTEX,2187,ESTRADA RIO JEQUIA,21930007,RIO DE JANEIRO,3648-4335,undefined,21"
",-22.965,-43.18,STA MARGARIDA,388,RUA BARATA RIBEIRO 181,22040002,RIO DE JANEIRO,2135-4931,undefined,21"
",-22.97611111,-43.19222222,STROM SORTE LOTERIAS,391,RUA BARATA RIBEIRO 774,22051000,RIO DE JANEIRO,2256-7905,undefined,21"
",-22.90288889,-43.20758333,SUPER PREMIO,13509,AV PASTOR  MARTIN LUTHER KING JR,21530012,RIO DE JANEIRO,3450-8373,undefined,21"
",-22.80547222,-43.18141667,SUZYNHA LOTERIA,445,R MAREANTE,21921535,RIO DE JANEIRO,2467-6626,undefined,21"
",-22.90291667,-43.20766667,TALISMA DA SORTE,13797,AV DAS AMERICAS,22793082,RIO DE JANEIRO,3286-6120,undefined,21"
",-22.905,-43.18513889,TATINHA LOTERIAS,369,R REGENTE FEIJO,20060060,RIO DE JANEIRO,2224-3133,undefined,21"
",-22.90394444,-43.23844444,TEMPO DE PAZ,21764,TRAV SAIAO LOBATO,20943135,RIO DE JANEIRO,2567-5950,undefined,0000"
",-22.91761111,-43.22413889,TIA REGINA,462,R. MARIZ E BARROS,20270002,RIO DE JANEIRO,2234-1421,undefined,21"
",-23.00216667,-43.33877778,TIGRE LOTERICO,5628,AV DAS AMERICAS 3501,22631003,RIO DE JANEIRO,3502-6411,undefined,21"
",-22.96611111,-43.18222222,TIO PATINHAS,2313,AV PR M LUTHER KING JR,20761000,RIO DE JANEIRO,2583-1072,undefined,21"
",-22.88869444,-43.32141667,TIRIRI DA SORTE,24435,RUA NERVAL DE GOUVEA,21311325,RIO DE JANEIRO,7845-1848,undefined,21"
",-22.90277778,-43.2075,TORRE DA FELICIDADE,6957,R ANDRADE ARAUJO,21340462,RIO DE JANEIRO,2464-0191,undefined,21"
",-22.89916667,-43.27722222,TORRES SOBRINHO,463,RUA ARISTIDES CAIRE,20775090,RIO DE JANEIRO,2241-9478,undefined,21"
",-22.87628333,-43.464775,TREVINHO DO JABOUR LOTERIA LTDA,15530,RUA FONSECA,21820005,RIO DE JANEIRO,3291-5876,undefined,21"
",-22.80494444,-43.21,TREVO DA ILHA,431,EST GALEAO,21931003,RIO DE JANEIRO,3353-3104,undefined,21"
",-22.89291667,-43.17988889,TREVO LOTERICO,349,R SAO BENTO,20090010,RIO DE JANEIRO,2253-5098,undefined,21"
",-22.88308333,-43.36194444,TRICOLOR SUBURBANO LOTERIAS LTDA,14631,RUA CONSELHEIRO GALVAO,21360000,RIO DE JANEIRO,2451-9492,undefined,21"
",-22.90277778,-43.2075,TRILHA DA SORTE,403,RUA URUGUAI,20510060,RIO DE JANEIRO,8241-2260,undefined,21"
",-22.97055556,-43.18805556,TUO LOTERIAS LTDA,490,R. SANTA CLARA,undefined,22041010,RIO DE JANEIRO,2549-7145,undefined,21"
",-22.94930556,-43.18544444,TWIST LOTERIAS LTDA.,365,RUA SAO CLEMENTE,22260000,RIO DE JANEIRO,2286-9780,undefined,21"
",-22.94619444,-43.33986111,UNIVERSO DA SORTE CS LOT DE JPA LTDA,19461,ESTRADA DE JACAREPAGUÁ,22753033,RIO DE JANEIRO,2456-1636,undefined,21"
",-22.90277778,-43.2075,URUGUAIANA DA SORTE,8068,RUA URUGUAIANA,20050092,RIO DE JANEIRO,3148-6898,undefined,21"
",-22.9295,-43.23638889,USINA DA SORTE,20051,RUA CONDE DE BONFIM,20520055,RIO DE JANEIRO,2208-9234,undefined,21"
",-22.87055556,-43.31222222,VALE DO OURO,21549,RUA SILVA VALE,21370360,RIO DE JANEIRO,2229-0062,undefined,21"
",-22.90277778,-43.2075,VENEZIA LIVRARIA LTD,2245,VISCONDE DE PIRAJA,22410000,RIO DE JANEIRO,2521-3192,undefined,21"
",-22.98175,-43.36311111,VIA PARQUE LOTERIAS,2306,AV AYRTON SENNA,22775904,RIO DE JANEIRO,2421-1145,undefined,21"
",-22.96686111,-43.18827778,VIBRE LOTERIAS,444,R. SIQUEIRA CAMPOS,22031070,RIO DE JANEIRO,2548-9529,undefined,21"
",-22.86916667,-43.4525,VIEIRA RODRIGUES LOTERIA LTDA,7251,Rua Fonseca,21820005,RIO DE JANEIRO,3309-3184,undefined,21"
",-22.90277778,-43.2075,VINTEM DA SORTE LOTERIA  LTDA,13800,RUA ANAPARANA,22765630,RIO DE JANEIRO,2445-0153,undefined,21"
",-22.90555556,-43.55833333,VISCONDE LOTERIAS LTDA,2249,Rua aurelio figueiredo,23082100,RIO DE JANEIRO,2418-8859,undefined,21"
",-22.90455556,-43.18088889,VITORIA DA ANDRADAS,380,RUA DOS ANDRADAS,20051001,RIO DE JANEIRO,2221-5593,undefined,21"
",-22.94494444,-43.59680556,VMT DE SAMPAIO  LOTERIAS,17639,ESTRADA DO MAGARCA,23035380,RIO DE JANEIRO,3108-7200,undefined,21"
",-22.90333333,-43.17680556,WEBLOTERICA,14871,RUA PRIMEIRO DE MARCO,20010000,RIO DE JANEIRO,2232-3119,undefined,21"
",-22.88722222,-43.55916667,WEST SORTE,2321,ESTRADA DO MENDANHA,23015260,RIO DE JANEIRO,2414-9052,undefined,21"
",-22.939,-43.341,XINGU LOTERIAS LTDA,19168,RUA XINGU,22760070,RIO DE JANEIRO,2456-2229,undefined,21"
",-22.79075,-43.18063889,ZAHER LOTERIAS,7194,AV DR AGENOR DE ALMEIDA LOYOLA,21911310,RIO DE JANEIRO,3366-3714,undefined,21"

SÃO GONÇALO - RJ
"-22.82952778,-43.00097222,ACERTEI LOTERIA ESPORTIVA,19276,RUA CAPITÃO JUVENAL FIGUEIREDO,24744560,SAO GONCALO,2725-0776,undefined,21"
",-22.79183333,-43.02930556,AGAN LOTERIAS,23781,LARGO DE ITAUNA,24474766,SAO GONCALO,3711-6076,undefined,21"
",-22.82733333,-43.01733333,AGAN LOTERIAS,23780,AV JORNALISTA ROBERTO MARINHO,24451715,SAO GONCALO,3719-5151,undefined,21"
",-22.80866667,-43.01666667,AMERICA LOTERIAS,3291,AV DOMINGOS D DUARTE,24456422,SAO GONCALO,3708-0667,undefined,21"
",-22.82708333,-43.05411111,ARSENAL DA SORTE LOTERIAS,13429,AVENIDA EUGENIO BORGES,24751000,SAO GONCALO,2725-4159,undefined,21"
",-22.82233333,-43.04905556,CASA LOT OS SETE DA SORTE,19332,RUA CARLOS GIANELI,24465000,SAO GONCALO,3611-8246,undefined,21"
",-22.81266667,-42.99777778,CASA LOTERICA TRIBOBO,23228,AV VISCONDE DE SANTAREM,24750070,SAO GONCALO,7850-1595,undefined,21"
",-22.81847222,-43.00669444,CONTA CERTA,440,R DR ALFREDO BACKER,24452001,SAO GONCALO,2702-2222,undefined,0000"
",-22.84658333,-43.09186111,ESCOLHA CERTA LOTERIA,8379,RUA DR ALBERTO TORRES,24426260,SAO GONCALO,3714-2790,undefined,21"
",-22.81963889,-43.03425,ESTRELA DA SORTE,21624,DR. NILO PEÇANHA,24445970,SAO GONCALO,2606-7827,undefined,21"
",-22.8245,-42.97013889,FAVORITA LOTERIA ESPORTIVA,19275,ESTRADA DE PACHECOS,24732570,SAO GONCALO,3708-5452,undefined,21"
",-22.83302778,-43.04005556,FERREIRA DORIA LOT ESP,3272,RUA JOSE LOURENCO DE AZEVEDO,24421300,SAO GONCALO,2605-8164,undefined,21"
",-22.82097222,-43.04397222,FORTE DA SORTE LOTERIA,13488,AVENIDA 18 DO FORTE,24460005,SAO GONCALO,3119-4605,undefined,21"
",-22.82836111,-43.05544444,H2J LOTERIA,19214,R CEL MOREIRA CESAR,24440400,SAO GONCALO,3607-7676,undefined,0000"
",-22.80541667,-42.96619444,INVISTA NA SORTE,8201,EST ALMIRANTE PENABOTO,24722470,SAO GONCALO,3606-9656,undefined,21"
",-22.84225,-43.07430556,L L ESPORTIVA LTDA,3268,RUA DR. GETULIO VARGAS,24416000,SAO GONCALO,2604-3762,undefined,21"
",-22.83833333,-43.06527778,LAS VEGAS,21593,RUA DR GETULIO VARGAS,24416000,SAO GONCALO,undefined,undefined,undefined"
",-22.82633333,-43.05113889,LOT RASPEI GANHEI,3380,RUA FELICIANO SODRE,24440440,SAO GONCALO,3706-1823,undefined,21"
",-22.85427778,-43.08811111,LOTERIA COVANCA,24374,RUA MARECHAL FLORIANO PEIXOTO,24425470,SAO GONCALO,2624-1981,undefined,21"
",-22.82711111,-42.98719444,LOTERIA DA PRACA,24389,ESTRADA RAUL VEIGA,24730055,SAO GONCALO,98108-2021,undefined,21"
",-22.83375,-43.08027778,LOTERIA ESP. BIG SORTE,3266,RUA COMANDANTE ARI PARREIRAS,24430000,SAO GONCALO,2605-7868,undefined,21"
",-22.83061111,-43.08438889,LOTERIA GRADIM DA SORTE,19213,RUA VISCONDE DE ITAUNA,24431000,SAO GONCALO,2604-6554,undefined,21"
",-22.81922222,-43.00297222,LOTERIA MINHA E SUA,6954,R ANTONIO ALVES,24710390,SAO GONCALO,2614-3719,undefined,21"
",-22.86116667,-43.08986111,LOTERIA X DA SORTE,19392,RUA DR PORCIUNCULA,24411005,SAO GONCALO,2628-2070,undefined,21"
",-22.66919444,-43.25869444,LOTERIAS MARIA PAULA,13427,ESTRADA DA PACIENCIA,24756660,SAO GONCALO,2617-7282,undefined,21"
",-22.82877778,-43.046,LOTERICA BOULEVARD,24380,AV PRESIDENTE KENNEDY,24445000,SAO GONCALO,97188-7462,undefined,21"
",-22.81316667,-43.03897222,MUTUA LOTERIA,23057,AV PAULA LEMOS,24461000,SAO GONCALO,7850-1595,undefined,0000"
",-22.82369444,-43.04402778,NEVES SANTOS LOTERIAS,3388,RUA DR NILO PECANHA,24445360,SAO GONCALO,2712-6895,undefined,21"
",-22.81525,-43.02333333,NOVA CIDADE LOT LTDA,3235,RUA DR. NILO PECANHA,24445300,SAO GONCALO,2601-6637,undefined,21"
",-22.82308333,-43.04791667,PALOMA LOTERIAS,3300,R DR FELICIANO SODRE,24440440,SAO GONCALO,2605-0277,undefined,21"
",-22.85508333,-43.10113889,PER TUTTI,6603,R OLIVEIRA BOTELHO,24425005,SAO GONCALO,2628-5225,undefined,21"
",-22.82013889,-43.002,SANTA LUZIA ESPORTIV,3269,R IOLANDA SAD ABUZAID,24710460,SAO GONCALO,2701-0598,undefined,21"
",-22.82113889,-43.00216667,SANTA LUZIA ESPORTIVA LTDA,7577,RUA PALMIRA NINHO,24710440,SAO GONCALO,2602-5905,undefined,21"
",-22.81308333,-42.99925,SINAL VERDE LOTERIA ESPORTIVA,19329,AVENIDA SANTA CATARINA,24717140,SAO GONCALO,2702-3621,undefined,21"
",-22.82313889,-43.00483333,SJT LOTERIAS,19277,RUA LAUREANO ROSA,24710350,SAO GONCALO,2601-1117,undefined,21"
",-22.81844444,-43.01577778,SORTE DO MUTONDO,23056,RUA DR ALFREDO BACKER,24452001,SAO GONCALO,2725-6570,undefined,0000"
",-22.83936111,-43.01252778,STATUS LOT ESP,3290,RODOVIA AMARAL PEIXOTO,24753560,SAO GONCALO,2601-4542,undefined,21"
",-22.82686111,-43.05966667,TOTOMANIA LOTERIA,14432,R  DR FRANCISCO PORTELA,24435000,SAO GONCALO,2604-7526,undefined,21"
",-22.82197222,-42.99958333,TREZAO ESPORTIVA,3344,RUA MARINHO DOS SANTOS,24710490,SAO GONCALO,2701-0139,undefined,21"
",-22.82183333,-43.06269444,VENDA DA SORTE LOTERIA,3245,RUA ABILIO JOSE DE MATOS,24436000,SAO GONCALO,2606-7038,undefined,21"
",-21.34097222,-41.20063889,VISAO LOTERIA ESPORTIVA,3293,RUA MILTON NUNES,24722175,SAO GONCALO,2614-0691,undefined,21"

DUQUE DE CAXIAS - RJ
"-22.79222222,-43.30055556,BAZAR LOT ESP DINGO,3286,R MAL BENTO MANOEL,25075270,DUQUE DE CAXIAS,2671-2095,undefined,21"
",-22.64144444,-43.21997222,CASA CASTELANEA,3319,RUA IPAMERI,25266020,DUQUE DE CAXIAS,2678-1122,undefined,21"
",-22.79091667,-43.30966667,CASA LOTERICA BOA SORTE CAXIAS LTDA,21508,AV GOV LEONEL DE MOURA BRIZOLA,25045002,DUQUE DE CAXIAS,3848-0412,undefined,21"
",-22.78355556,-43.31166667,CASTELAO LOTERIA ESPORTIVA,3294,AV AUTOMOVEL CLUBE,25260000,DUQUE DE CAXIAS,3658-7066,undefined,21"
",-22.78194444,-43.22127778,DALLAS LOTERIAS,17978,AV DUQUE DE CAXIAS,25070070,DUQUE DE CAXIAS,2673-1459,undefined,21"
",-22.58694444,-43.30491667,DULCINEA RANGEL FULY,3361,PRACA DA MANTIQUEIRA,25245350,DUQUE DE CAXIAS,2679-2172,undefined,21"
",-22.78644444,-43.30886111,DUQUE DA SORTE,10298,AV. PRESIDENTE VARGAS,25070330,DUQUE DE CAXIAS,2771-6818,undefined,21"
",-22.793,-43.30222222,DUQUE DA SORTE,24469,AV BRIGADEIRO LIMA E SILVA,25071182,DUQUE DE CAXIAS,3848-4802,undefined,21"
",-22.78788889,-43.31227778,DUQUESA LOTERIAS LTDA,3335,R ANDRE REBOUCAS,25010130,DUQUE DE CAXIAS,2671-6450,undefined,21"
",-22.77997222,-46.31002778,EH DA SORTE,18463,RUA DR MANOEL REIS,25025010,DUQUE DE CAXIAS,3044-5592,undefined,21"
",-22.70777778,-43.25861111,GOL DO MILHAO,2366,AV  SAO PAULO,25225660,DUQUE DE CAXIAS,3656-7198,undefined,21"
",-22.79105556,-43.31158333,JORNAIS ETC,14954,R JOSE DE ALVARENGA,25020140,DUQUE DE CAXIAS,2653-1105,undefined,21"
",-22.76686111,-43.28461111,LAUREANO DA SORTE,20767,RUA COELHO NETO,25060570,DUQUE DE CAXIAS,7811-1676,undefined,21"
",-22.78655556,-43.31488889,LOTERIA E BAZAR 407 LTDA,14062,AV NILO PECANHA,25010145,DUQUE DE CAXIAS,2771-9533,undefined,21"
",undefined,LOTERIA NILO PECANHA,24746,AV NILO PECANHA,25010144,DUQUE DE CAXIAS,7893-4280,undefined,21"
",-22.68397222,-43.28122222,LOTERIA PRIMAVERA,20670,AV JORNALISTA MOACYR PADILHA,25215250,DUQUE DE CAXIAS,7861-8091,undefined,21"
",-22.79172222,-43.31083333,LOTERIA SAO LUIZ LTDA,3281,R MARIANO SENDRA DOS SANTOS,25010080,DUQUE DE CAXIAS,2671-3715,undefined,21"
",-22.8475,-43.55611111,LOTERIA SONHO MEU LTDA,3299,R EXPEDICIONARIO JOSE  AMARO,25065090,DUQUE DE CAXIAS,3842-4880,undefined,21"
",-22.79011111,-43.30644444,LOTERIAS BRIGADEIRO,18245,AV. BRIGADEIRO LIMA E SILVA,25071182,DUQUE DE CAXIAS,2673-8059,undefined,21"
",-22.79530556,-43.32933333,LUCK SHOP,12581,AV NILO PECANHA,25015001,DUQUE DE CAXIAS,3757-9718,undefined,21"
",-22.64372222,-43.24963889,LUCRI LOTERIAS,13641,RUA B,25268000,DUQUE DE CAXIAS,3666-0949,undefined,21"
",-22.75191667,-43.30455556,MARLENE LOTERIAS LTDA,3349,AV DARCY VARGAS,25035250,DUQUE DE CAXIAS,9887-7796,undefined,21"
",-22.78938889,-43.30811111,MATHIAS E SANCHES LOTERIA LTDA,17846,AVENIDA PRESIDENTE VARGAS,25070330,DUQUE DE CAXIAS,2653-4336,undefined,21"
",-22.75263889,-43.31272222,MEGA SORTE,2201,AVENIDA NILO PECANHA,25010143,DUQUE DE CAXIAS,2771-2834,undefined,21"
",-22.79419444,-43.29666667,PERALTAS LOTERIAS,12974,AV BRIGADEIRO LIMA E SILVA,25071181,DUQUE DE CAXIAS,2653-4975,undefined,0000"
",-22.75316667,-43.29447222,POLIDO & POLIDO LOTERIA LTDA,18532,AV PELOTAS,25055192,DUQUE DE CAXIAS,3652-1347,undefined,21"
",-22.78866667,-43.28480556,SERVICO ESPACO ZEN,19653,RODOVIA WASHINGTON LUIZ,25055009,DUQUE DE CAXIAS,3652-0691,undefined,21"
",-22.67722222,-43.24886111,SORTE IMPERIAL,17752,AVENIDA PRESIDENTE ROOSEVELT,25211120,DUQUE DE CAXIAS,2773-3658,undefined,21"
",-22.78730556,-43.31319444,SORTE SUA PRIMAVERA LTDA,12977,R VICENTE CELESTINO,25220020,DUQUE DE CAXIAS,2773-4794,undefined,21"
",-22.78355556,-43.31586111,STAR BLUE LOTERIAS LTDA,15630,RUA NILO PECANHA,25010144,DUQUE DE CAXIAS,2771-1548,undefined,21"
",-22.78663889,-43.2265,TREVO LOTERIAS LTDA,3236,AV PLINIO CASADO,25020010,DUQUE DE CAXIAS,2771-2347,undefined,21"
",-22.78558333,-43.31183333,ZUVANOV LOTERIA LTDA,3358,AV PRESIDENTE KENNEDY,25010009,DUQUE DE CAXIAS,2673-3052,undefined,21"

NOVA IGUAÇU - RJ
"-22.76111111,-43.45047222,ANALU LOTERIAS LTDA,3365,RUA GETULIO VARGAS,26255170,NOVA IGUACU,2698-2516,undefined,21"
",-22.75686111,-43.45216667,ANJO DA SORTE LOTERIA E BAZAR,3582,EST RIO SAO PAULO VARIANTE,26298000,NOVA IGUACU,3510-8937,undefined,21"
",-22.05358333,-43.52716667,AUSTIN SORTE LOTERIA,15129,RUA CANDIDO LIMA,26210000,NOVA IGUACU,2764-3505,undefined,21"
",-22.75916667,-43.45111111,CASA LOTERICA MARTUCHE LTDA,3387,AV GOVERNADOR ROBERTO SILVEIRA,26285060,NOVA IGUACU,2667-1102,undefined,21"
",-22.75916667,-43.45111111,CASA VIANENSE LTDA,3239,R OTAVIO TARQUINO,26210170,NOVA IGUACU,2768-6614,undefined,21"
",-22.75916667,-43.45186111,CLIMAU MOV UT DOM LO,3341,AV GOV AMARAL PEIXOTO,26210060,NOVA IGUACU,2667-8038,undefined,21"
",-22.741,-43.48563889,COMENDADOR DA SORTE LOTERIA,2271,RUA TOMAS FONSECA,26031513,NOVA IGUACU,undefined,undefined,21"
",-22.76,-43.45411111,DAMA DA SORTE LOTERIA PAP E INFOR LTDA,18474,RUA DOUTOR THIBAU,26255000,NOVA IGUACU,2667-0605,undefined,21"
",-22.78613889,-43.54377778,FAROL DA SORTE LOTERIAS LTDA,20699,AV ABILIO AUGUSTO TAVORA,26291200,NOVA IGUACU,2657-4749,undefined,21"
",-22.73072222,-43.45688889,IRMAOS DA SORTE LOTERIA,24518,ESTRADA LUIZ DE LEMOS,26020810,NOVA IGUACU,3844-8547,undefined,21"
",-22.759,-43.45311111,LOT ESP CONTE LTDA,3253,AV MARECHAL FLORIANO PEIXOTO,26220060,NOVA IGUACU,3582-5847,undefined,0000"
",-22.75416667,-43.46316667,LOTELOTO LOTERIA LTD,2221,AV PRESIDENTE TANCREDO NEVES,26285002,NOVA IGUACU,2669-3672,undefined,21"
",-22.73230556,-43.47347222,LOTERIA 2 IRMAOS,24517,RUA GENI SARAIVA,26031482,NOVA IGUACU,2658-3663,undefined,21"
",-22.75788889,-43.44927778,LOTERIA ALMERINDA DA SORTE,24506,TV ALMERINDA LUCAS DE AZEREDO,26210180,NOVA IGUACU,7893-4280,undefined,21"
",-22.7602,-43.45063611,LOTERIA ESP TREZE LT,3345,AV MAL FLORIANO PEIXOTO,26210000,NOVA IGUACU,2667-0201,undefined,21"
",-22.71658333,-43.52655556,LOTERIA LEITE DA SORTE,24339,RUA CORONEL MONTEIRO DE BARROS,26087150,NOVA IGUACU,98844-1505,undefined,21"
",-22.85894444,-43.60469444,LOTERIAS MIX,20146,EST ANTIGA RIO SAO PAULO BR 465,26298566,NOVA IGUACU,2468-9194,undefined,21"
",-22.73780556,-43.45686111,LOTERICA RAINHA DO ALTO DA POSSE,14075,RUA FREI FREDERICO VIER,26010210,NOVA IGUACU,3793-1858,undefined,21"
",-22.56869444,-43.7525,M M LOT ESPORTIVA LT,3303,AV GOV. PORTELA,26221030,NOVA IGUACU,2768-0386,undefined,21"
",-22.68219444,-43.4445,MEGA SORTE CASA LOTERICA,6659,RUA MARIA CUSTODIA,26052310,NOVA IGUACU,2658-7922,undefined,21"
",-22.7385,-43.31169444,MIGLOT LOTERIAS LTDA ME,19374,EST DEP DARCILIO AYRES RAUNHETTI,26023315,NOVA IGUACU,2886-0780,undefined,21"
",-16.73788889,-51.20016667,MUG LOTERIAS LT,3312,AV GOV AMARAL PEIXOTO,26210060,NOVA IGUACU,2669-1008,undefined,21"
",-22.76075,-43.44597222,NALA AIRAN LTDA ME,6621,AV GOVERNADOR PORTELA,26221030,NOVA IGUACU,2657-0840,undefined,21"
",-22.75775,-43.45177778,NOVA SORTE IGUACU LOTERIA LTDA,24383,RUA DR BARROS JUNIOR,26255030,NOVA IGUACU,98838-3099,undefined,21"
",-22.74411111,-43.48655556,PIRLIMPIMPIM LOT ESP,3348,RUA ANGELO GREGORIO,26280320,NOVA IGUACU,3488-5966,undefined,21"
",-22.74877778,-43.43980556,RANCHO DA SORTE LOTERIAS,12817,RUA LUIS SOBRAL,26013737,NOVA IGUACU,2663-2066,undefined,21"
",-22.70680556,-43.43122222,SAO LUCAS,24468,EST DEPUTADO DARCILIO A RAUNHETTI,26070461,NOVA IGUACU,2769-0955,undefined,21"
",-22.75891667,-43.23180556,SORTE DUPLA LOTERIA,14501,RUA JOSE HIPOLITO DE OLIVEIRA,26210130,NOVA IGUACU,2667-3771,undefined,21"
",-22.80825,-43.46744444,SUA SORTE,7886,RUA PHILOMENA COELHO,26050020,NOVA IGUACU,2657-0306,undefined,0000"
",-22.75741667,-43.43111111,VITORIA LOTERIAS,18031,RUA ALLAN KARDEC,26220110,NOVA IGUACU,3773-8737,undefined,0000"


BELFORD ROXO - RJ
"-22.88591667,-43.174,CARINHA FELIZ,13783,AV JORGE JULIO COSTA DOS SANTOS,26130010,BELFORD ROXO,2662-3903,undefined,0000"
",-22.75083333,-43.40861111,CASA LOTERICA AREIA BRANCA LTDA,24466,AV AUGUSTO VASCO ARANHA,26135060,BELFORD ROXO,7893-4280,undefined,21"
",-22.76344444,-43.40005556,CASA LOTERICA OPALA,17957,PCA ELIAQUIM BATISTA,26130060,BELFORD ROXO,2662-0533,undefined,0000"
",-22.73925,-43.40977778,FARRULA LOTERIAS,3276,AV RETIRO DA IMPRENSA,26112180,BELFORD ROXO,2663-8324,undefined,0000"
",-22.75888889,-43.40108333,LOTERIA APARECIDA DA SORTE,24493,AV FLORIPES ROCHA,26113340,BELFORD ROXO,7893-4280,undefined,21"
",-22.76358333,-43.40108333,LOTERIA DELTHENE LTD,3315,PCA EXP ELIAQUIM BATISTA,26130060,BELFORD ROXO,2761-0537,undefined,0000"
",-22.74180556,-43.415,LOTERIA HELIOPOLIS,24470,AV JULIO AMORIM PEREIRA,26140000,BELFORD ROXO,7893-4280,undefined,21"
",-22.71477778,-43.32688889,LOTERIA LOTE XV LTDA ME,21349,AV JOAQUIM DA COSTA LIMA,26183255,BELFORD ROXO,7893-4280,undefined,21"
",-22.76205556,-43.40247222,LOTERIA LOTOBEL LTDA,21352,AV BENJAMIM PINTO DIAS,26130000,BELFORD ROXO,2661-0438,undefined,21"
",-22.73611111,-43.38552778,LOTERIA SAO BERNARDO,24492,AV JOAQUIM DA COSTA LIMA,26165225,BELFORD ROXO,7893-4280,undefined,21"
",-22.90277778,-43.2075,RIO SORTE,2223,AV BENJAMIM PINTO DIAS,26130000,BELFORD ROXO,7893-4280,undefined,0000"

NITEROI - RJ
"-22.89333333,-43.12008333,ALTAIR LOTERIA ESPORTIVA,3326,AV  ERNANI AMARAL PEIXOTO,24020072,NITEROI,2722-3159,undefined,21"
",-22.89605556,-43.105,APOSTE AKI,6418,R SANTA ROSA,24240225,NITEROI,3619-7966,undefined,21"
",-22.94113889,-43.05716667,BABELO LOTERIAS,3264,R MARIZ E BARROS,24220110,NITEROI,2610-0819,undefined,21"
",-22.89405556,-43.12311111,BARCO LOTERICO LOTERIAS,3227,RUA DA CONCEICAO,24020080,NITEROI,2622-1693,undefined,21"
",-22.8985,-43.10469444,CANTINHO DA FORTUNA,8262,R DR PAULO CESAR,24240000,NITEROI,2612-2239,undefined,21"
",-22.88963889,-43.11452778,CASA LOTERICA MARQUES DO PARANA,13689,R MARECHAL DEODORO,24030060,NITEROI,2621-5119,undefined,21"
",-22.90311111,-43.12208333,CHAVE DA SORTE,3350,RUA DOUTOR NILO PECANHA,24210480,NITEROI,3254-7178,undefined,21"
",-22.89669444,-43.12266667,CORRENTE DA SORTE,12422,R ALMIRANTE TEFE,24030085,NITEROI,2613-2483,undefined,21"
",-22.90277778,-43.11138889,GAVIAO PEIXOTO LOTERIA ESPORTIVA,13104,R GAVIAO PEIXOTO,24230100,NITEROI,2613-6392,undefined,21"
",-22.9025,-43.17194444,ICARAI DA SORTE,19250,RUA MOREIRA CESAR,24230060,NITEROI,2621-0287,undefined,21"
",-22.891,-43.12144444,JOGO CERTO,3307,R VISC DE ITABORAI,24030092,NITEROI,2620-0720,undefined,21"
",-22.88244444,-43.08569444,KIKO LOTERIAS,3342,R DESEMBARGADOR LIMA CASTRO,24130001,NITEROI,2627-0663,undefined,21"
